ID,NU_NOTA_LC
0,502.30515
1,581.32935
2,519.75354
3,464.01172
4,526.70667
5,570.82794
6,495.68137
7,473.56995
8,491.34424
9,617.6574
10,608.6942
11,576.42786
12,464.40564
13,600.41656
14,445.40753
15,466.53192
16,621.6737
17,601.72345
18,538.2967
19,524.68506
20,499.93198
21,594.4122
22,569.6678
23,461.79532
24,474.16486
25,561.5893
26,434.6818
27,535.4827
28,451.71942
29,465.62897
30,520.54395
31,614.10284
32,580.62445
33,554.4569
34,548.9812
35,463.77924
36,486.1447
37,515.79816
38,520.1453
39,505.10297
40,483.27942
41,537.90765
42,534.3725
43,448.8583
44,653.5615
45,441.0438
46,488.0374
47,472.02734
48,451.29776
49,536.67816
50,465.68683
51,465.22723
52,516.3462
53,537.00085
54,558.92523
55,568.8861
56,481.7387
57,519.85693
58,539.09247
59,610.2247
60,505.2101
61,465.2682
62,452.07233
63,527.656
64,532.2119
65,444.27808
66,526.8338
67,465.36313
68,458.33676
69,526.43085
70,545.8305
71,592.98444
72,508.04312
73,512.9677
74,589.469
75,489.93533
76,505.75903
77,476.85406
78,570.91486
79,584.464
80,505.10016
81,569.5866
82,485.28824
83,474.71323
84,483.0537
85,539.15955
86,492.3678
87,524.2987
88,461.98434
89,483.15048
90,492.99136
91,504.07645
92,561.3794
93,477.67245
94,581.3935
95,610.6591
96,515.11066
97,472.99622
98,505.05362
99,533.2133
100,606.9446
101,515.46344
102,542.89014
103,608.3831
104,528.20514
105,635.4736
106,626.68945
107,591.28
108,471.84128
109,638.0439
110,550.47003
111,484.61398
112,517.58435
113,626.6289
114,482.6433
115,490.2163
116,501.0573
117,536.79645
118,603.67755
119,555.10394
120,531.22144
121,498.64426
122,499.52097
123,616.2883
124,499.4302
125,576.5251
126,492.43365
127,484.67062
128,522.54663
129,535.40314
130,530.3827
131,470.59158
132,575.633
133,496.70288
134,513.47925
135,562.0031
136,593.8643
137,513.3128
138,466.1702
139,478.8581
140,494.6361
141,491.63876
142,498.35596
143,524.3994
144,535.0931
145,607.58185
146,668.4471
147,559.71716
148,500.64352
149,581.56213
150,626.00653
151,469.7926
152,601.8022
153,533.8593
154,547.5322
155,561.0996
156,458.82736
157,484.15515
158,465.23096
159,625.29126
160,614.8922
161,638.8411
162,590.2317
163,431.51245
164,452.8874
165,510.3056
166,554.25336
167,565.37
168,582.8865
169,598.873
170,606.25885
171,425.33276
172,602.49097
173,465.54074
174,576.77795
175,483.29474
176,594.91235
177,515.96124
178,562.6174
179,568.6475
180,485.18683
181,503.39804
182,515.5985
183,509.0847
184,506.21564
185,585.80096
186,492.9716
187,626.0911
188,487.1725
189,493.5723
190,522.29504
191,486.47968
192,526.5719
193,611.2196
194,584.4418
195,537.2088
196,483.94562
197,583.5745
198,528.7745
199,548.7293
200,465.61365
201,617.7167
202,555.5623
203,448.2853
204,547.25555
205,448.77847
206,539.6983
207,445.9222
208,585.75116
209,619.56274
210,479.08127
211,535.25714
212,541.73346
213,485.3491
214,534.5281
215,607.5656
216,572.3185
217,483.98203
218,538.0943
219,542.35535
220,522.93024
221,478.1329
222,523.88837
223,527.2445
224,495.0219
225,540.6028
226,569.18854
227,609.65674
228,624.2355
229,569.77386
230,441.07605
231,553.55316
232,456.33987
233,538.72534
234,587.0868
235,505.7424
236,534.3643
237,469.96872
238,473.09967
239,520.8477
240,595.12836
241,618.87024
242,505.59952
243,513.30853
244,638.64545
245,534.528
246,599.5408
247,496.74237
248,451.52475
249,565.122
250,590.9454
251,548.89594
252,428.83734
253,556.2112
254,460.54865
255,496.75598
256,576.04626
257,576.8401
258,472.37982
259,549.5861
260,463.19785
261,449.69464
262,504.7366
263,485.2215
264,535.79535
265,500.1366
266,566.12646
267,473.47272
268,454.81628
269,446.6824
270,598.193
271,445.46274
272,485.4016
273,598.7111
274,521.4659
275,571.5712
276,469.85968
277,601.60333
278,530.7721
279,547.22876
280,563.8945
281,520.2118
282,544.6188
283,561.52185
284,576.36786
285,483.9075
286,620.49506
287,479.08862
288,480.2054
289,434.46698
290,488.47348
291,513.0124
292,431.40738
293,596.91156
294,431.2617
295,632.7232
296,513.18365
297,467.67227
298,559.4616
299,634.167
300,604.4567
301,471.99255
302,493.90897
303,611.2239
304,530.58746
305,561.30133
306,517.9294
307,612.49036
308,542.39014
309,588.43994
310,594.3131
311,607.78125
312,427.79312
313,444.31308
314,566.34393
315,639.9477
316,475.64282
317,526.9
318,449.81696
319,585.06854
320,471.39017
321,585.9292
322,628.1575
323,594.87476
324,561.54016
325,473.42184
326,569.9301
327,581.2586
328,482.4084
329,478.4589
330,543.46234
331,602.9033
332,597.8918
333,506.2041
334,533.1646
335,475.22244
336,572.6459
337,497.6478
338,442.24344
339,448.949
340,555.6493
341,504.8575
342,488.81628
343,454.8625
344,471.06046
345,566.3881
346,494.04947
347,576.18
348,611.83887
349,606.41766
350,546.43097
351,575.7735
352,564.7421
353,570.9222
354,587.9956
355,515.0527
356,431.59998
357,495.10947
358,582.7594
359,581.9002
360,524.45154
361,489.82248
362,583.3622
363,482.18875
364,598.1309
365,509.30118
366,478.20816
367,592.1364
368,503.21655
369,505.4346
370,463.1366
371,553.9127
372,447.51547
373,500.47104
374,516.5185
375,521.063
376,448.6706
377,518.9126
378,518.66266
379,452.58203
